user_id,product_id,interaction_type,timestamp,session_id,device_type,duration_seconds,rating
user_00006,prod_00221,view,2026-03-17 10:09:02,sess_a0341ec0,mobile,133,
user_00142,prod_00180,like,2026-01-05 10:09:02,sess_1f8fcd75,mobile,49,
user_00731,prod_00139,like,2026-03-07 10:09:02,sess_7a58b399,desktop,117,
user_00033,prod_00243,view,2025-12-21 10:09:02,sess_188ed106,tablet,202,
user_00433,prod_00205,like,2026-02-23 10:09:02,sess_09f33afd,tablet,228,
user_00696,prod_00449,cart,2026-02-20 10:09:02,sess_e7dae960,desktop,74,
user_00427,prod_00284,view,2026-03-07 10:09:02,sess_d8d093d0,desktop,295,
user_00950,prod_00322,view,2026-01-28 10:09:02,sess_6a6dfe2d,desktop,54,
user_00142,prod_00270,view,2026-01-12 10:09:02,sess_bbd36eec,tablet,188,
user_00480,prod_00182,view,2026-01-24 10:09:02,sess_da71e7f8,desktop,19,
user_00935,prod_00287,like,2025-12-29 10:09:02,sess_d63454c1,desktop,129,
user_00595,prod_00263,view,2026-01-07 10:09:02,sess_55ab4662,tablet,155,
user_00055,prod_00387,view,2025-12-22 10:09:02,sess_fa0fec15,mobile,241,
user_00827,prod_00391,cart,2026-02-11 10:09:02,sess_2bd6967e,tablet,59,
user_00342,prod_00305,like,2026-03-10 10:09:02,sess_733c59df,mobile,266,
user_00758,prod_00368,like,2026-01-13 10:09:02,sess_3212b62e,mobile,119,
user_00917,prod_00346,view,2026-02-06 10:09:02,sess_c467e559,tablet,8,
user_00825,prod_00249,view,2026-03-17 10:09:02,sess_d6a3374a,mobile,66,
user_00533,prod_00050,view,2026-01-16 10:09:02,sess_702a68bb,mobile,263,
user_00455,prod_00201,like,2026-02-22 10:09:02,sess_5e2d02c3,mobile,284,
user_00267,prod_00421,like,2025-12-26 10:09:02,sess_04215446,mobile,99,
user_00146,prod_00420,view,2025-12-18 10:09:02,sess_13470c07,tablet,107,
user_00488,prod_00246,view,2026-03-05 10:09:02,sess_6128a982,tablet,257,
user_00377,prod_00342,view,2025-12-18 10:09:02,sess_76ad470f,mobile,242,
user_00427,prod_00417,view,2026-02-09 10:09:02,sess_80c38941,desktop,66,
user_00578,prod_00200,view,2026-03-13 10:09:02,sess_1b104e1e,tablet,232,
user_00044,prod_00465,like,2026-02-10 10:09:02,sess_c5899776,mobile,86,
user_00367,prod_00257,view,2025-12-17 10:09:02,sess_a2bffa3b,tablet,204,
user_00526,prod_00033,view,2026-01-31 10:09:02,sess_c67c2264,tablet,293,
user_00348,prod_00236,view,2025-12-23 10:09:02,sess_a57b0b85,desktop,206,
user_00070,prod_00470,view,2026-01-16 10:09:02,sess_40795cf8,tablet,97,
user_00590,prod_00363,view,2026-02-04 10:09:02,sess_67541275,tablet,183,
user_00599,prod_00317,view,2026-03-14 10:09:02,sess_1c7b6379,tablet,86,
